text_clean,label
supaya nggk limit harus gmn ni biar bisa normal kembali,1
apk jelek,0
aplikasi penipu sy berlangganan lewat dana tp kenapa melakukan pemotongan berlangganan d gopay ga aman ini aplikasi,1
busuk harus premium jgn download ga berguna,1
menurut saya coba tambah kan fitur canggih supaya kita tau siapa yang menyimpan nomor kita dengan nama yang tersedia di get contact,1
suruh bayar mulu,1
dulu aplikasi ini bagus dan sangat membantu sekarang harus bayar untuk tau penipuan saja kita harus bayar kocakkk,2
dan pada akhirnya saya memutuskan untuk tidak bermain sesuai role akan dekanakan hukuman yang sangat berat,1
malah bongkar privasijelek,1
menurut saya ini apk nya kurang bagus utk ank ank dibawah umur jadi orang tua harus menjaga anak,2
gimana sih katanya bisa mengetahui siapa yang namain gua tapi abis itu kok malah gimana lah yaelah scam ini biar banyak yang download,1
kenapa di hp samsung saya gak ada pilihan kartupanggilan yang mengambang bukan yg full layar di samsung a saya masih tampilan yg full layar boleh tolong diperbaiki,1
mengerikan,1
nama gw ga sesuai,1
katanya disuruh bayar  rbu untuk yg premium tpi pas mau dibayar tdk bisa padhl saldo d dana sy  rbujgn tdk sesuai dgn yg dimaksud harus byr lebih lagi,1
washap gw malah di rutt sama getkontak balikin washap gw bego dasar bego,1
iklannya buruk banget nyebelin,0
woy gua udh byr tpi kok ga bisa,1
pinter ya cara maen nya sekarang mau lihat tag orang biasa aja gabisa walaupun dia ga pake privasi makin pinter nyari duitnya sy uninstall aja bye,1
dulu terakhir download ntah tahun berapa belom berbayar dan masih ada gratisan cek nomor sekarang giliran udah rame berbayar haha jelek nih apk,0
sering kena limit fitur yang unlimited nya mana,1
bagus tapi fitur premium nya masih di batasi untuk mengecek tag masalahnya sebagai orang kerja jadi customer service ini kadang jadi masalah untuk mengindentifikasi karakter nasabah,2
apk makin sinih makin ribet bukan nya ngebantu malah banyak drama,1
bagus,2
dulu awal sngat membantu sekrg apa harus berlngganan premium dulu knp hrus bgtu sih  sebel bgt,2
maaf saya hentikan berlangganan saya hanya ingin mencobanya satu kali saja karena aplikasi getcontact masih banyak kekurangannya tanda  name  tidak bisa di klik ketika di klik tanda  name  kita tidak bisa mengetahui siapa saja yang sudah simpan nama kontak kita seharusnya tanda  name  bisa di klik untuk mengetahui siapa yang simpan nama kita perbaiki aplikasi ini agar kita tahu siapa yang sudah simpan nama kita di dalam tanda  name,1
saya telah membatalkan langganankembalikan saldo saya yg di potong secara tiba tiba dalam selama  bulan inikarena saya sama selali tidak menggunakan aplikasi tersebut,1
good,1
sangat burukudh di bayar juga,1
dapat notif tag baru ditambahkan diminta ke premium tapi tag tersebut nggak muncul anehh,1
pada iklan nya berbeda dengan realita aplikasi di iklan bisa liat nomor kita di dv apa tapi aslinya tidak tidak di sarankan untuk di download,1
ga jelas mo masuk pake gmail ga bisa,1
wkwk udh beli premium masih belum bisa kasih liat nomor yang saya cari wkwk,1
sangat membantu,2
aplikasi nya scam saya liat tidak ada nomor kawa saya yang sv,1
masih perdana semoga bermanfaat kedepannya,2
apk hama awalan gratis kesininya berbayar kalo mau berbayar dari dulu udah mah ngga ngotak pembayaran gede gede cuma buat liat kontak niat cari cuan apa ngebantu manis di awal doangg tida direkomendasikan apk ini bayar nya ngga ngotak mending langganan yang lebih berguna jangan pernah langganan di sini cuma liat kontak x bayarnya sampe ratusan ribu padahal ngecek doang buang duit kalo ada yang langganan di sini,1
kenapa pembayaran melalui googleplay di tolak,1
gratistis,1
kikir,1
aplikasi kikir,1
aplikasi terlalu rakus mengambil keuntungan,1
apk ga guna,1
banyak iklan nya sampah,1
lacak,1
apk berbayar,1
